0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Cheirogaleus Medius,0.0,435.49759085701476,374.9144185359777,397.8954454969789,246.43748024260742,420.00377718194767,391.1812053928449,407.3834161826154,249.89040391045856,374.22983953438444,363.01017832724443,335.7385540611736,362.06344112686094,41.43882856072708,152.86456840505159,392.3635580053392,45.12657371509878,42.98983271445243,34.6943708094297,177.93187496852943,68.14725630164766,139.19784079510504,718.647537266103,117.61376337467308,596.754962760552,596.211401711211
Daubentonia,435.49759085701476,0.0,82.67251965159296,62.77780514632939,194.00389678425194,38.683243143288344,73.69123876703807,51.614841638416436,189.68314540509013,67.4287046995081,92.10967565086004,103.00132123873678,82.12382595482819,447.57827905485425,288.06590064743637,68.22001683817489,442.73728751832107,461.1718203168811,419.1149604363019,267.7254469151916,383.64041331088566,302.3469337022278,287.7366904745233,327.39163650619616,169.93683498594805,167.95666676458305
Eulemur Albifrons,374.9144185359777,82.67251965159296,0.0,42.6119885137442,133.98644055851068,71.31368232581725,32.22087064579208,39.53695200917956,131.04088178031364,31.60636090185275,49.42777478923928,53.92224134697942,39.57790228117459,389.89075312286263,232.79847751055974,50.53927532924068,386.07310529483385,403.51577679556044,360.15830885940716,210.70805533720363,325.8501449476345,245.6948092685235,350.5449954039441,272.5781287111036,227.06136327645373,226.5128096104254
Eulemur Collaris,397.8954454969789,62.77780514632939,42.6119885137442,0.0,152.60039583174805,35.12034708654289,18.54507771055206,21.932431261564968,150.97023734869708,32.87793040591281,38.4261637892713,68.7691179397962,39.28940596921047,409.3975283733423,251.23915369670854,15.498042403395543,407.11043884338227,423.43106004342303,380.4668834984878,226.79696782756847,345.53856567703315,263.9157660276752,322.9107764131959,295.424683141324,203.18026882784545,201.21128464710822
Eulemur Coronatus,246.43748024260742,194.00389678425194,133.98644055851068,152.60039583174805,0.0,175.62867011988118,146.0159336214643,163.7996632626536,13.128409888361917,129.94749982094064,117.24169265639296,91.866519852358,116.39094430867142,257.6719587885672,99.79417532016068,148.00133087478227,254.71909078358158,272.08233921667966,228.4932368594181,76.92171174383782,193.2345744040045,112.37737909631817,474.4327956109207,145.60912844474026,354.3521892709832,352.8564928442678
Eulemur Flavifrons,420.00377718194767,38.683243143288344,71.31368232581725,35.12034708654289,175.62867011988118,0.0,51.499942259814766,37.2254915861566,173.36280629272062,52.46774413081548,63.86709586245419,88.8126652173672,61.71245709092256,430.2566450101054,271.4242631048018,35.83532127722339,427.64478299962485,444.159664140774,401.9556385037939,248.0732385173467,366.70740231470893,284.65193620265535,299.3782044376522,315.26451867354666,182.42392203686035,179.74957143189874
Eulemur Fulvus,391.1812053928449,73.69123876703807,32.22087064579208,18.54507771055206,146.0159336214643,51.499942259814766,0.0,29.188828354420473,143.92381425172113,32.70173122924277,37.15570519311211,64.00324958731882,36.985984264475206,403.39299155988476,245.42964741601492,30.83934640874892,400.472803163594,417.67581588286197,374.1255453924437,221.01283109404537,338.9494920707436,258.168931420393,332.73112912661423,288.708752480837,212.74742114371625,210.85377561227338
Eulemur Macaco,407.3834161826154,51.614841638416436,39.53695200917956,21.932431261564968,163.7996632626536,37.2254915861566,29.188828354420473,0.0,161.40349936900606,37.677816750723856,56.507353451162345,76.97573003624483,51.11401326634338,420.5952981514097,262.4123776828612,32.602279149425364,417.5909100709444,434.2249336848846,391.3845389218139,239.41036020333485,356.8423751000034,275.3667257553166,313.8961125602884,304.2666226282013,191.4810509789983,190.39785759173054
Eulemur Mongoz,249.89040391045856,189.68314540509013,131.04088178031364,150.97023734869708,13.128409888361917,173.36280629272062,143.92381425172113,161.40349936900606,0.0,126.52944957088842,116.4052668706203,87.33696634205944,113.59203761760106,261.5717470738609,102.57607905370378,147.28544580142955,256.9735460485879,276.12975123716393,232.37231736534233,82.45285945501894,196.3787165163695,116.44158275501951,472.10211883114664,145.37684079672806,352.1291769637444,350.56391657294324
Eulemur Rubriventer,374.22983953438444,67.4287046995081,31.60636090185275,32.87793040591281,129.94749982094064,52.46774413081548,32.70173122924277,37.677816750723856,126.52944957088842,0.0,34.31074833555503,40.06362139787823,17.67423650047516,386.6745964591406,227.43478785337868,36.17325516493901,382.74962223320085,400.58389979585303,357.6561994815693,205.39526898491584,322.3701556982173,241.03519265214922,346.58513554130064,268.8660545367233,225.99381895077124,224.39716777115004
